url,address,name,rate,votes,phone,location,rest_type,dish_liked,cuisines,review_list
https://www.zomato.com/bangalore/cafe-coffee-day-1-banashankari?context=eyJzZSI6eyJlIjpbIjE4NzIzNDk0IiwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiw1NjE2NiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19,SRF Complex Near BDA Complex Kathreguppe Main Road Banashankari Bangalore,Cafe Coffee Day,3.6/5,28,803248629.0,Banashankari,Cafe,,Cafe  Fast Food,    Rated 4 0    RATED n  This outlet is better than other outlets  But the service was slow  Ambience was good  The garlic bread was not that great  But the other dishes were yum       Rated 1 0     RATED n  Quality of coffee has gone worse  So so so diluted coffee   Though I ordered cold coffee
https://www.zomato.com/bangalore/hide-out-cafe-banashankari?context=eyJzZSI6eyJlIjpbIjE4Njg4NDg5IiwiMTg1MjkwOTAiLCI1NjE2NiIsIjYwOTE5IiwxODM5Njc2MCwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,,Hide Out Cafe,3.7/5,31,,Banashankari,Cafe,,Cafe,    Rated 4 0    RATED n  The food was quite good  we ordered chicken and eggfried rice which tasted pretty good  nThe service was as expected and the ambience was also good but it felt like as if we were in a pub but overall it was nice       Rated 4 0     RATED n  Hookah place    It s a dark silent place   people who prefer dark places can go there    The food is good and tasty   fries are good and neither too costly    Parking sometimes can get us a problem      
https://www.zomato.com/bangalore/cafe-nova-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTI5MDkwIiwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwxODU5MzUxOSwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19,101 Water Tank Road 2nd Block 3rd Stage Banashankari Bangalore,CAFE NOVA,3.2/5,11,,Banashankari,Cafe,,Cafe  Bakery,    Rated 1 0     RATED n  No ventilation  Smokers sit in an enclosed seating area and smoke for hours  Inside sitting area is sealed like it s for AC
https://www.zomato.com/bangalore/coffee-tindi-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjU2MTY2IiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwxODUwMDAyMCwiMTg4NDQyNjAiLCI1Nzk5NCIsIjU1MDkwIiwiNTc0MzUiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==,27th Cross Rd Banashankari Stage II Banashankari Bangalore,Coffee Tindi,3.8/5,75,,Banashankari,"Cafe, Quick Bites",,Cafe  South Indian,    Rated 5 0    RATED n  please provide some extra sambal the quantity was very less      Rated 3 0    RATED n  Tasty idlis and Kesari bath  but  chatni and sambar were not upto the mark  Especially  sambar was really bad  nPackaging also can be little better  n       Rated 1 0    RATED n  Neer dosa was good   but Rava dosa was bad bad worst not had that kind of Rava dosa    before            Rated 4 0    RATED n  set dosa was awesome         Rated 1 0    RATED n  fuck you man  who send tea in juice cups  it got spilled      Rated 2 0    RATED n  chutney and sambar was done in the same package for 2 masala dosa     it was really inconvenient cause i had to do seperation before goving it to my friend      Rated 3 0    RATED n                                                                                                                                                                                     Rated 1 0    RATED n  they have cheated by not voda and also chutney      Rated 5 0    RATED n  Good      Rated 3 0    RATED n  packing super and dosa idli and vada is good but the sides is worst need to improve a lot in sides   like sambar and Sagu   if improved it will be a super please for south indian food        Rated 5 0    RATED n  Spr      Rated 4 0    RATED n  good      Rated 5 0    RATED n  Awesome food      Rated 5 0    RATED n  i had ordered south meals   i was very pleased with the taste and quality of the food   looking forward for more orders in the future with them         Rated 5 0    RATED n  tasty nd yummy      Rated 4 0    RATED n  good morning      Rated 5 0    RATED n  very good      Rated 5 0    RATED n       Rated 5 0    RATED n  nice      Rated 5 0    RATED n  superb      Rated 4 0    RATED n  good morning      Rated 5 0    RATED n  very good      Rated 5 0    RATED n       Rated 5 0    RATED n  nice      Rated 5 0    RATED n  superb      Rated 4 0    RATED n  good morning      Rated 5 0    RATED n  very good      Rated 5 0    RATED n       Rated 5 0    RATED n  nice      Rated 5 0    RATED n  superb      Rated 4 0    RATED n  good morning      Rated 5 0    RATED n  very good      Rated 5 0    RATED n       Rated 5 0    RATED n  nice      Rated 5 0    RATED n  superb      Rated 4 0    RATED n  good morning      Rated 5 0    RATED n  very good      Rated 5 0    RATED n       Rated 5 0    RATED n  nice      Rated 5 0    RATED n  superb      Rated 5 0    RATED n  nice            Rated 4 0    RATED n  they forgot to pack chutney for 3 plates of idly vadas  however we got ONE  single plastic spoon      Rated 5 0    RATED n  Taste was amazing      Rated 5 0    RATED n  good service      Rated 1 0    RATED n  Food was packed very badly  We could see the deformation of the plastic wrapped around hot food       Rated 5 0    RATED n  nice            Rated 4 0    RATED n  they forgot to pack chutney for 3 plates of idly vadas  however we got ONE  single plastic spoon      Rated 5 0    RATED n  Taste was amazing      Rated 5 0    RATED n  good service      Rated 1 0    RATED n  Food was packed very badly  We could see the deformation of the plastic wrapped around hot food       Rated 5 0    RATED n  nice            Rated 4 0    RATED n  they forgot to pack chutney for 3 plates of idly vadas  however we got ONE  single plastic spoon      Rated 5 0    RATED n  Taste was amazing      Rated 5 0    RATED n  good service      Rated 1 0    RATED n  Food was packed very badly  We could see the deformation of the plastic wrapped around hot food       Rated 5 0    RATED n  nice            Rated 4 0    RATED n  they forgot to pack chutney for 3 plates of idly vadas  however we got ONE  single plastic spoon      Rated 5 0    RATED n  Taste was amazing      Rated 5 0    RATED n  good service      Rated 1 0    RATED n  Food was packed very badly  We could see the deformation of the plastic wrapped around hot food       Rated 1 0    RATED n  neer dosa full waste          Rated 5 0    RATED n  good food every time         Rated 4 0     RATED n  kindly improve on delivery timing  it s getting late   
https://www.zomato.com/bangalore/sea-green-cafe-1-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjYwOTE5IiwiMTgzOTY3NjAiLCIxODU5MzUxOSIsIjE4NTAwMDIwIiwxODg0NDI2MCwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,1036 Srinidhi Plaza 3rd floor Above Nilgiris Stage 2 Banashankari Bangalore,Sea Green Cafe,3.3/5,4,,Banashankari,Cafe,,Cafe  Fast Food  Beverages,   Rated 5 0    RATED n  Newly opened cafe near KIMS Medical College  nSpacious and pleasant ambiance  nMust try Chicken Pakoda and Crispy Fried Chicken  nSheesha happy hours offers are good and affordable    
https://www.zomato/bangalore/cuppa-1-banashankari?context=eyJzZSI6eyJlIjpbIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiw1Nzk5NCwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19,940 Shantha Complex 20th Main 2nd Stage Banashankari Bangalore,Cuppa,3.3/5,23,,Banashankari,Cafe,,Cafe  Fast Food,    Rated 1 5    RATED n  This place was good to hangout when it was new  Now it has nothing to it more than a bunch of regulars smoking their lungs out and some noisy college students playing pool  nBeware of the roaches here  nConclusion is  bad coffee  no ambiance  too noisy and mostly nothing to eat       Rated 3 5     RATED n  Probably this is the only cafe which hardly has customers  I ve visited this particular outlet about 3 4 times and everytime not more than 2 3 tables are ever occupied  nHave tried their coffee
https://www.zomato.com/bangalore/redberrys-basavanagudi?context=eyJzZSI6eyJlIjpbIjE4NTAwMDIwIiwiMTg4NDQyNjAiLCI1Nzk5NCIsIjU1MDkwIiw1NzQzNV0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,30 Surveyor Street DVG Road Basavanagudi Bangalore,Redberrys,4.0/5,219,,Basavanagudi,Cafe,Pizza  Fries  Anjeer Ice Cream  Sandwiches  Gelato  Burgers  Kesar Badam,Cafe  Italian,    Rated 4 0     RATED n  Redberrys will provideswonderful ice cream flavours and some tasty delights to fill up your tummy with the italian touch friendly staff s quick response towards the customer food in redberrys were good and tasty we loved the pizzas that they serve nice place to hangout with friends one of the best place to jump in   
https://www.zomato/bangalore/foodiction-1-banashankari?context=eyJzZSI6eyJlIjpbNTc2MDEsIjE4NTUxNzA3IiwiMTg0NTc2MDYiLCI1OTA4NiIsIjE4MzU5OTE4IiwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5hc2hhbmthcmkifX0=,,Foodiction,2.8/5,506,,Banashankari,Quick Bites,Burgers  Lassi  Chicken Grill  Naan  Momos  Chicken Burger  Biryani,North Indian  Fast Food  Chinese  Burger,    Rated 1 0     RATED n  Worst restaurant ever 
https://www.zomato.com/bangalore/sweet-truth-banashankari?context=eyJzZSI6eyJlIjpbIjU3NjAxIiwxODU1MTcwNywiMTg0NTc2MDYiLCI1OTA4NiIsIjE4MzU5OTE4IiwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2IiwiNTg2MzYiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,101 Ground Floor Manjunatha Complex 22nd Main Road Banashankari Bangalore,Sweet Truth,3.9/5,35,,Banashankari,Delivery,,Bakery  Desserts,   Rated 4 0    RATED n  I had the opportunity to try the desserts and I was very intrigued  I tasted the desserts and my favourite has to be the cheesecake   Would definitely recommend the desserts for the quality and taste    
https://www.zomato.com/bangalore/ovenstory-pizza-banashankari?context=eyJzZSI6eyJlIjpbIjU3NjAxIiwiMTg1NTE3MDciLDE4NDU3NjA2LCI1OTA4NiIsIjE4MzU5OTE4IiwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2IiwiNTg2MzYiLCI1MzYwMSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIn19,101 Ground Floor Manjunatha Complex 22nd Main Road 2nd Stage Banashankari Bangalore,Ovenstory Pizza,3.9/5,172,,Banashankari,Delivery,Paneer Tikka  Garlic Bread  Thin Crust Pizza  Falafel  Veggie Pizza,Pizza,    Rated 4 0    RATED n  Stumbled upon this on Zomato while checking for home delivery options  Yummy pizza  ordered a corn veggie delight pizza  Crust was good  golden brown and had generous toppings  Certainly will order again       Rated 5 0    RATED n  best pizza i have ever had best place and delecious food eveyone must vist this place best pizza   there are many varieties in ovenstory the best part is that everything is fresh      Rated 5 0    RATED n  I recently ordered from Ovenstory   Ovenstory offers you delicious and lip smacking pizza and sides   they are quite different with crunchy base   nI ordered  n chicken overloaded pizza   its was heavenly  delicious   It had topping of cheese   chicken keema   chicken salami   n 4 5 5  n n U0001f96agarlic bread   it was crunchy and had corn on it   it tasted yummy  4 5       Rated 5 0     RATED n  Amazing pizza with super soft crust and loaded with alot of chicken  The variety of oven story is amazing with every kind of pizzas and sides it is one stop for all pizza lover s  Chicken garlic bread is my personal favourite  A new place for my every day hangout with friends which will not make a hole in my pocket too    
https://www.zomato.com/bangalore/faasos-banashankari?context=eyJzZSI6eyJlIjpbIjU3NjAxIiwiMTg1NTE3MDciLCIxODQ1NzYwNiIsNTkwODYsIjE4MzU5OTE4IiwiMTg2MTgzNDMiLCI1NzMyNSIsIjU1Mzk3IiwiMTg1NjMwOTciLCI1Njg4MyIsIjE4MzA3ODA2IiwiNTg2MzYiLCI1MzYwMSIsIjE4NTY1Njc5Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBCYW5hc2hhbmthcmkifX0=,80 BDA Complex 2nd Stage Banashankari Bangalore,Faasos,4.2/5,415,,Banashankari,Quick Bites,Rolls  Veggie Wrap  Chocolate Fantasy  Rice Bowls  Chicken Rice  Paneer Makhanwala  Chicken Tikka Wrap,North Indian  Biryani  Fast Food,    Rated 3 0    RATED n  Not worth for the money we pay and ambience is not that good enough and service is tooo slow   with they could improve with that      and try the rolls in here      Rated 5 0    RATED n  Amazing Navratri special thali Ultimate treat after full fast day  Taste was just awesome Must try when you are on fast or not on fast   Do visit or get it home delivered       Rated 4 0    RATED n  Recently I tried their navratri thali which was a special menu for navratri and it was really scrumptious without lacking the taste  nThali had kuttu aloo parantha  sweet n sour Petha sabzi  paneer sabzi  raita n kheer  It was filling and the taste of all the items was really good       Rated 4 0     RATED n  Faasos is kind of food saver for many bachelor s   They have a huge food list serving in different styles  And even festival foods  Recently during dasara have ordered food which was very filling and tasty  n nsandeepkasal wordpress com   
https://www.zomato.com/bangalore/fast-and-fresh-1-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTUxNzA3IiwiMTg0NTc2MDYiLCI1OTA4NiIsIjE4MzU5OTE4IiwxODYxODM0MywiNTczMjUiLCI1NTM5NyIsIjE4NTYzMDk3IiwiNTY4ODMiLCIxODMwNzgwNiIsIjU4NjM2IiwiNTM2MDEiLCIxODU2NTY3OSIsIjE4NTU5ODk3IiwiMTg2OTcyMTEiLCI1MjI1NSIsIjUxMzQ4IiwiMTgzNzEyNzIiLCIxODc4MjIwOSIsIjE4Nzg3ODgzIiwiMTgwODk2ODIiLCIxODUyMTkxMiIsIjU2MDk4IiwiMTgwODk2OTMiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSJ9fQ==,32 7th Main Road Dwaraka NagarNear PES College Banashankari Bangalore,Fast And Fresh,2.8/5,91,,Banashankari,Quick Bites,,North Indian  Chinese  Fast Food,    Rated 1 0    RATED n  Half baked rice in a special meal  Half baked roti only panneer curry was good  Serve the order with good quality or stop serving food in late nights or mid night      Rated 1 0    RATED n  Not the standard quality      Rated 5 0    RATED n  good      Rated 1 0    RATED n  Cold food      Rated 1 0     RATED n  pathetic service food is cold delivered 25 min late delivery person don t have change waiting for him to come nd return the money   
